fallacy,category,label,definition,example
Appeal to Anger,Emotion,appeal to anger,"This fallacy involves using anger or indignation as the main justification for an argument, rather than logical reasoning or evidence.","The victim’s family has been torn apart by this act of terror. Put yourselves in their terrible situation, you will see that he is guilty."
Appeal to Fear,Emotion,appeal to fear,"This fallacy occurs when fear or threats are used as the main justification for an argument, rather than logical reasoning or evidence.","If you don’t support this politician, our country will be in ruins, so you must support them."
Appeal to Pity,Emotion,appeal to pity,"This fallacy involves using sympathy or compassion as the main justification for an argument, rather than logical reasoning or evidence.","He’s really struggling, so he should get the job despite lacking qualifications."
Appeal to Positive Emotion,Emotion,appeal to positive emotion,"This fallacy occurs when a positive emotion – like hope, optimism, happiness, or pleasure – is used as the main justification for an argument, rather than logical reasoning or evidence.","Smoking a cigarette will make you look cool, you should try it!"
Appeal to Ridicule,Emotion,appeal to ridicule,This fallacy occurs when an opponent’s argument is portrayed as absurd or ridiculous with the intention of discrediting it.,There’s a proposal to reduce carbon emissions by 50% in the next decade. What’s next? Are we all going to stop breathing to reduce CO2?
Appeal to Worse Problems,Emotion,appeal to worse problems,"This fallacy involves dismissing an issue or problem by claiming that there are more important issues to deal with, instead of addressing the argument at hand. This fallacy is also known as the ""relative privation"" fallacy.",Why worry about littering when there are bigger problems like global warming?
Causal Oversimplification,Logic,causal oversimplification,"This fallacy occurs when a complex issue is reduced to a single cause and effect, oversimplifying the actual relationships between events or factors.","There is an economic crisis in the country, the one to blame is the president."
Circular Reasoning,Logic,circular reasoning,"This fallacy occurs when an argument assumes the very thing it is trying to prove, resulting in a circular and logically invalid argument.",The best smartphone is the iPhone because Apple creates the best products.
Equivocation,Logic,equivocation,"This fallacy involves using ambiguous language or changing the meaning of a term within an argument, leading to confusion and false conclusions.","The government admitted that many cases of credible UFOs (Unidentified flying objects) have been reported. Therefore, that means that Aliens have already visited Earth."
Fallacy of Division,Logic,fallacy of division,"This fallacy involves assuming that if something is true for a whole, it must also be true of all or some of its parts.","The team is great, so every player on the team must be great."
False Analogy,Logic,false analogy,This fallacy involves making an analogy between two elements based on superficial resemblance.,We should not invest in Space Exploration. It’s like saying that a person in debt should pay for fancy vacations.
False Causality,Logic,false causality,"This fallacy involves incorrectly assuming that one event causes another, usually based on temporal order or correlation rather than a proven causal relationship.","After the rooster crows, the sun rises; therefore, the rooster causes the sunrise."
False Dilemma,Logic,false dilemma,"This fallacy occurs when only two options are presented in an argument, even though more options may exist.","You’re either with us, or against us."
Hasty Generalization,Logic,hasty generalization,This fallacy occurs when a conclusion is drawn based on insufficient or unrepresentative evidence.,"I met two aggressive dogs, so all dogs must be aggressive."
Slippery Slope,Logic,slippery slope,"This fallacy occurs when it is claimed that a small step will inevitably lead to a chain of events, resulting in a significant negative outcome.","If we allow kids to play video games, they will see fights, guns, and violence, and then they’ll become violent adults."
Strawman Fallacy,Logic,straw man,"This fallacy involves misrepresenting an opponent’s argument, making it easier to attack and discredit.","He says we need better internet security, but I think his panic about hackers is overblown."
Ad Hominem,Credibility,ad hominem,This fallacy involves attacking a person’s character or motives instead of addressing the substance of their argument.,"John says the earth is round, but he’s a convicted criminal, so he must be wrong."
Ad Populum,Credibility,ad populum,This fallacy involves claiming that an idea or action is valid because it is popular or widely accepted.,"Millions of people believe in astrology, so it must be true."
Appeal to Authority,Credibility,appeal to (false) authority,"This fallacy occurs when an argument relies on the opinion or endorsement of an authority figure who may not have relevant expertise or whose expertise is questionable. When applicable, a scientific consensus is not an appeal to authority.","A famous actor says this health supplement works, so it must be effective."
Appeal to Nature,Credibility,appeal to nature,"This fallacy occurs when something is assumed to be good or desirable simply because it is natural, while its unnatural counterpart is assumed to be bad or undesirable.","Herbs are natural, so they are better than synthetic medicines."
Appeal to Tradition,Credibility,appeal to tradition,"This fallacy involves arguing that something should continue to be done a certain way because it has always been done that way, rather than evaluating its merits.","We’ve always had a meat dish at Thanksgiving, so we should not change it."
Guilt by Association,Credibility,guilt by association,"This fallacy involves discrediting an idea or person based on their association with another person, group, or idea that is viewed negatively.","Alice believes in climate change, just like the discredited scientist Bob, so her belief must be false."
Tu Quoque,Credibility,tu quoque,"This fallacy occurs when someone’s argument is dismissed because they are accused of acting inconsistently with their claim, rather than addressing the argument itself.","Laura advocates for healthy eating but was seen eating a burger, so her advice on diet is invalid."